Subject,CatalogNumber,CourseTitle,CourseType,Dates,Credit,MeetingTime,Room,Instructor,TotalSeats,SeatsTaken,AvailableSeats
MSFI,429,Investment Management,Lecture,02/01/2021 - 05/07/2021,3 units,F 1:00 PM - 3:00 PM,To Be Announced,"Joonki Noh,Marybeth Keeler",80,35,45
MSFI,429,Investment Management,Lecture,02/01/2021 - 05/07/2021,3 units,F 1:00 PM - 3:00 PM,To Be Announced,"Joonki Noh,Marybeth Keeler",80,48,32
MSFI,429,Investment Management,Lecture,02/01/2021 - 05/07/2021,3 units,Tu 7:00 AM - 9:45 AM,Web/Distance Learning,Joonki Noh,80,53,27
MSFI,429,Investment Management,Lecture,02/01/2021 - 05/07/2021,3 units,W 7:00 PM - 9:45 PM,Web/Distance Learning,Joonki Noh,80,35,45
MSFI,429,Investment Management,Lecture,02/01/2021 - 05/07/2021,3 units,W 7:00 AM - 9:45 AM,Web/Distance Learning,Joonki Noh,80,48,32
MSFI,430,Derivatives and Risk Management,Lecture,02/01/2021 - 05/07/2021,3 units,M 7:00 PM - 9:45 PM,Web/Distance Learning,Edwin Martinez,75,34,41
MSFI,431,Fixed Income Markets and Their Derivatives,Lecture,02/01/2021 - 05/07/2021,3 units,M 7:00 AM - 9:45 AM,Web/Distance Learning,Joonwoo Bae,5,1,4
MSFI,431,Fixed Income Markets and Their Derivatives,Lecture,02/01/2021 - 05/07/2021,3 units,M 7:00 AM - 9:45 AM,Web/Distance Learning,Joonwoo Bae,70,47,23
MSFI,431,Fixed Income Markets and Their Derivatives,Lecture,02/01/2021 - 05/07/2021,3 units,Tu 7:00 PM - 9:45 PM,Web/Distance Learning,Joonwoo Bae,70,31,39
MSFI,432,Corporate Risk Management,Lecture,02/01/2021 - 05/07/2021,3 units,Th 7:00 PM - 9:45 PM,Web/Distance Learning,Lakshmi Shankar Ramachandran,70,45,25
MSFI,433,Quantitative Risk Modeling,Lecture,02/01/2021 - 05/07/2021,3 units,Tu 7:00 AM - 9:45 AM,Web/Distance Learning,Lakshmi Shankar Ramachandran,70,28,42
MSFI,433,Quantitative Risk Modeling,Lecture,01/08/2021 - 01/29/2021,3 units,MTuWThF 7:00 AM - 9:45 AM,Web/Distance Learning,Lakshmi Shankar Ramachandran,70,42,28
MSFI,436A,"Individual, Team and Career Development",Seminar,02/05/2021 - 03/19/2021,0.75 units,F 7:00 AM - 9:15 AM,Web/Distance Learning,Edwin Martinez,65,51,14
MSFI,436A,"Individual, Team and Career Development",Seminar,02/05/2021 - 03/26/2021,0.75 units,F 7:00 PM - 9:15 PM,Web/Distance Learning,Edwin Martinez,65,24,41
MSFI,436A,"Individual, Team and Career Development",Seminar,02/12/2021 - 03/26/2021,0.75 units,F 7:00 AM - 9:15 AM,Web/Distance Learning,Edwin Martinez,65,55,10
MSFI,436B,"Individual, Team and Career Development",Seminar,02/01/2021 - 05/07/2021,0.75 units,F 7:00 AM - 9:15 AM,Web/Distance Learning,Amra Rausche,65,48,17
MSFI,436B,"Individual, Team and Career Development",Seminar,02/01/2021 - 05/07/2021,0.75 units,F 7:00 PM - 9:15 PM,Web/Distance Learning,Amra Rausche,65,24,41
MSFI,436B,"Individual, Team and Career Development",Seminar,02/01/2021 - 05/07/2021,0.75 units,F 7:00 AM - 9:15 AM,Web/Distance Learning,Amra Rausche,65,57,8
MSFI,436C,"Individual, Team, and Career Development",Workshop,01/04/2021 - 05/07/2021,0 units,TBA ,To Be Announced,Marybeth Keeler,60,0,60
